sex,race,age,edu,state,response,repvote
male,white,38,some college,NY,0,0.382275815
female,white,65,hs,KY,0,0.65670629
male,white,61,hs,GA,0,0.526611726
male,white,39,4-year college,NE,1,0.635476741
male,white,36,some college,WI,0,0.50407989
female,white,36,hs,WI,1,0.50407989
male,other,85,4-year college,SC,1,0.574602564
female,white,73,post-grad,FL,0,0.506188355
male,white,58,4-year college,KY,0,0.65670629
male,white,97,hs,FL,1,0.506188355
female,black,21,hs,MA,1,0.353487213
male,white,37,some college,NJ,0,0.427158099
female,black,56,some college,CA,0,0.338717892
female,other,38,hs,CA,0,0.338717892
female,white,72,hs,IL,0,0.409799486
female,black,30,some college,LA,1,0.601716772
male,white,18,post-grad,TX,0,0.547132256
male,white,67,some college,OH,1,0.542676846
male,white,52,some college,OH,1,0.542676846
male,white,67,post-grad,CA,1,0.338717892
female,other,49,hs,UT,1,0.623836582
female,white,19,4-year college,IL,0,0.409799486
male,white,41,4-year college,MN,1,0.491681431
male,white,36,post-grad,NY,0,0.382275815
male,white,64,some college,AZ,1,0.518900234
male,white,66,some college,GA,1,0.526611726
female,other,28,some college,FL,1,0.506188355
female,white,49,some college,IA,1,0.550635478
female,white,59,some college,NC,0,0.519037458
female,white,55,some college,AZ,1,0.518900234
female,other,36,no hs,FL,0,0.506188355
male,white,43,hs,NY,0,0.382275815
female,other,54,post-grad,FL,0,0.506188355
female,white,42,hs,AR,1,0.642851377
male,white,90,post-grad,CA,0,0.338717892
female,white,77,hs,IL,0,0.409799486
female,white,77,some college,CA,1,0.338717892
male,white,98,hs,VA,1,0.471736237
female,white,53,post-grad,NH,0,0.498029716
female,white,41,some college,IL,0,0.409799486
male,white,59,4-year college,WA,1,0.412130688
female,white,34,4-year college,SD,1,0.659718581
male,white,30,post-grad,OH,0,0.542676846
female,white,35,4-year college,NY,1,0.382275815
female,black,56,4-year college,NC,0,0.519037458
male,other,20,no hs,NY,0,0.382275815
female,white,79,4-year college,AZ,0,0.518900234
female,white,52,post-grad,NC,0,0.519037458
female,black,26,hs,PA,0,0.503755358
female,white,20,hs,SC,1,0.574602564
male,white,50,4-year college,MO,1,0.59818561
female,white,69,hs,MN,0,0.491681431
male,white,70,some college,OK,0,0.693047372
female,white,53,hs,PA,0,0.503755358
female,white,57,some college,NY,0,0.382275815
female,white,27,hs,CA,0,0.338717892
female,white,48,some college,NC,0,0.519037458
female,white,28,4-year college,VA,0,0.471736237
female,white,19,hs,NY,0,0.382275815
female,black,23,hs,SC,1,0.574602564
male,white,88,some college,OK,1,0.693047372
male,white,97,some college,CA,1,0.338717892
female,white,57,hs,NJ,0,0.427158099
female,white,26,4-year college,TN,1,0.63624343
female,white,56,some college,FL,1,0.506188355
male,white,50,hs,PA,0,0.503755358
male,white,37,post-grad,MA,1,0.353487213
female,white,91,hs,WA,0,0.412130688
male,white,66,hs,VA,1,0.471736237
male,white,69,4-year college,MD,0,0.359837503
female,white,36,some college,IN,0,0.601173095
female,white,60,hs,IN,0,0.601173095
male,other,56,4-year college,AK,1,0.583856547
male,white,34,hs,IL,0,0.409799486
female,other,37,hs,AZ,1,0.518900234
male,white,52,no hs,KY,0,0.65670629
female,white,65,hs,CA,1,0.338717892
female,white,48,hs,CA,0,0.338717892
female,white,63,4-year college,NE,0,0.635476741
male,white,46,post-grad,DE,1,0.440013786
female,other,25,4-year college,CA,0,0.338717892
male,white,62,hs,NC,0,0.519037458
female,other,23,some college,WA,0,0.412130688
male,white,44,4-year college,UT,0,0.623836582
male,other,55,post-grad,TX,1,0.547132256
male,other,19,some college,CA,1,0.338717892
female,white,36,some college,FL,1,0.506188355
female,white,54,post-grad,IL,1,0.409799486
female,black,37,some college,IL,0,0.409799486
male,white,33,post-grad,NY,0,0.382275815
female,black,44,some college,CA,0,0.338717892
female,white,38,4-year college,MO,0,0.59818561
male,white,65,post-grad,FL,1,0.506188355
female,white,56,hs,IL,0,0.409799486
male,white,61,some college,IL,1,0.409799486
female,white,60,no hs,AL,0,0.643741436
male,white,31,some college,CA,0,0.338717892
male,white,19,hs,IL,1,0.409799486
female,other,78,hs,VA,1,0.471736237
female,white,30,4-year college,FL,0,0.506188355
male,white,18,4-year college,PA,0,0.503755358
male,black,49,4-year college,PA,0,0.503755358
female,white,45,hs,VA,0,0.471736237
male,other,29,some college,WI,0,0.50407989
female,white,30,4-year college,NJ,1,0.427158099
male,other,41,post-grad,NJ,0,0.427158099
female,other,30,some college,WI,0,0.50407989
female,other,31,no hs,IL,0,0.409799486
female,white,53,some college,GA,1,0.526611726
female,white,68,4-year college,CT,1,0.428584525
male,white,50,hs,MO,1,0.59818561
female,black,42,some college,MD,0,0.359837503
male,white,65,no hs,NY,1,0.382275815
female,white,52,some college,FL,1,0.506188355
female,white,91,some college,GA,1,0.526611726
female,white,18,hs,TX,1,0.547132256
female,white,33,post-grad,OH,1,0.542676846
male,other,37,4-year college,FL,0,0.506188355
female,other,26,some college,CA,0,0.338717892
female,white,55,4-year college,AZ,0,0.518900234
female,white,41,hs,TX,0,0.547132256
female,other,18,some college,WA,0,0.412130688
female,white,64,hs,MO,1,0.59818561
female,black,100,4-year college,NY,0,0.382275815
female,white,89,hs,WA,1,0.412130688
female,white,24,some college,WI,0,0.50407989
female,white,35,hs,IL,0,0.409799486
female,white,50,hs,LA,0,0.601716772
male,white,46,hs,NY,0,0.382275815
female,other,23,4-year college,AZ,0,0.518900234
male,white,62,post-grad,TX,0,0.547132256
female,white,79,hs,KS,0,0.611114703
female,white,18,some college,WI,0,0.50407989
female,white,60,hs,TX,0,0.547132256
female,white,23,some college,TN,1,0.63624343
male,white,35,hs,SD,1,0.659718581
female,white,98,hs,PA,0,0.503755358
male,other,22,some college,TX,0,0.547132256
male,white,32,some college,WV,1,0.721610523
male,white,66,hs,IL,1,0.409799486
male,white,86,4-year college,GA,1,0.526611726
male,white,36,4-year college,MI,0,0.501176682
female,white,57,some college,ME,1,0.484032089
male,white,68,some college,PA,0,0.503755358
female,white,60,some college,FL,0,0.506188355
female,white,88,hs,OK,0,0.693047372
female,white,31,post-grad,CA,0,0.338717892
male,white,68,post-grad,VA,0,0.471736237
female,white,20,hs,IN,0,0.601173095
female,white,64,some college,FL,0,0.506188355
male,white,58,hs,OK,0,0.693047372
male,black,60,4-year college,NY,0,0.382275815
male,white,83,post-grad,NC,0,0.519037458
male,white,38,no hs,AR,0,0.642851377
female,white,19,hs,MI,0,0.501176682
female,white,26,no hs,KS,0,0.611114703
female,other,28,some college,IN,0,0.601173095
male,white,30,some college,TN,1,0.63624343
female,black,39,post-grad,NJ,0,0.427158099
male,other,29,some college,TX,1,0.547132256
male,white,84,hs,NC,1,0.519037458
male,white,99,post-grad,NY,1,0.382275815
male,white,51,some college,MN,1,0.491681431
male,white,70,4-year college,VA,1,0.471736237
female,white,47,some college,TX,1,0.547132256
female,white,27,4-year college,TX,0,0.547132256
male,white,65,post-grad,KY,0,0.65670629
male,white,54,some college,TX,1,0.547132256
female,white,67,post-grad,VA,0,0.471736237
female,white,64,some college,NE,1,0.635476741
female,white,59,hs,MN,1,0.491681431
male,white,61,4-year college,NJ,1,0.427158099
male,white,67,some college,NC,1,0.519037458
male,white,58,some college,DE,1,0.440013786
female,white,51,hs,OH,0,0.542676846
female,black,34,4-year college,OH,1,0.542676846
female,white,95,no hs,KY,1,0.65670629
female,white,90,some college,SC,0,0.574602564
male,other,66,hs,NM,0,0.453492051
male,white,85,some college,IN,0,0.601173095
male,white,91,4-year college,WA,0,0.412130688
female,white,18,some college,VA,0,0.471736237
female,white,65,some college,MO,1,0.59818561
female,white,60,some college,MI,0,0.501176682
female,other,29,some college,SC,1,0.574602564
male,white,29,some college,TN,0,0.63624343
male,other,27,some college,TX,0,0.547132256
female,other,31,4-year college,WI,1,0.50407989
female,white,68,hs,OH,1,0.542676846
female,other,26,some college,TX,0,0.547132256
male,white,92,some college,FL,1,0.506188355
male,white,54,some college,NV,1,0.487062906
female,white,57,some college,OH,1,0.542676846
female,white,28,4-year college,NY,1,0.382275815
female,white,31,no hs,IN,1,0.601173095
female,white,54,some college,NY,0,0.382275815
male,black,44,post-grad,WA,0,0.412130688
female,white,38,4-year college,TN,0,0.63624343
female,white,80,post-grad,TX,0,0.547132256
male,other,18,some college,TX,1,0.547132256
female,other,19,4-year college,NY,0,0.382275815
male,black,58,no hs,AZ,0,0.518900234
female,white,30,4-year college,TX,0,0.547132256
female,other,18,some college,TX,1,0.547132256
female,white,24,some college,AR,1,0.642851377
male,white,93,4-year college,CT,0,0.428584525
female,other,27,4-year college,GA,0,0.526611726
female,white,28,some college,OH,0,0.542676846
male,white,64,4-year college,CA,0,0.338717892
male,white,48,4-year college,ID,1,0.683101767
