sex,race,age,time,zip,date,total,positive
Female,Black,0-17,1,28512,2019-12-30,7,0
Female,Black,0-17,1,28513,2019-12-30,3,0
Female,Black,0-17,1,28515,2019-12-30,3,1
Female,Black,0-17,1,28516,2019-12-30,1,0
Female,Black,0-17,1,28518,2019-12-30,2,0
Female,Black,0-17,1,28519,2019-12-30,2,0
Female,Black,0-17,1,28520,2019-12-30,3,0
Female,Black,0-17,1,28521,2019-12-30,3,0
Female,Black,0-17,1,28522,2019-12-30,2,0
Female,Black,0-17,1,28523,2019-12-30,3,0
Female,Black,0-17,2,28512,2020-01-06,8,0
Female,Black,0-17,2,28513,2020-01-06,5,0
Female,Black,0-17,2,28515,2020-01-06,2,0
Female,Black,0-17,2,28516,2020-01-06,2,0
Female,Black,0-17,2,28518,2020-01-06,4,0
Female,Black,0-17,2,28519,2020-01-06,1,0
Female,Black,0-17,2,28520,2020-01-06,3,0
Female,Black,0-17,2,28521,2020-01-06,3,0
Female,Black,0-17,2,28522,2020-01-06,1,0
Female,Black,0-17,2,28523,2020-01-06,3,0
Female,Black,0-17,3,28512,2020-01-13,3,0
Female,Black,0-17,3,28515,2020-01-13,1,0
Female,Black,0-17,3,28516,2020-01-13,4,0
Female,Black,0-17,3,28518,2020-01-13,4,0
Female,Black,0-17,3,28519,2020-01-13,2,0
Female,Black,0-17,3,28520,2020-01-13,2,0
Female,Black,0-17,3,28521,2020-01-13,4,0
Female,Black,0-17,3,28522,2020-01-13,5,0
Female,Black,0-17,3,28523,2020-01-13,4,0
Female,Black,0-17,4,28512,2020-01-20,5,0
Female,Black,0-17,4,28513,2020-01-20,4,0
Female,Black,0-17,4,28515,2020-01-20,3,0
Female,Black,0-17,4,28516,2020-01-20,2,0
Female,Black,0-17,4,28518,2020-01-20,2,0
Female,Black,0-17,4,28519,2020-01-20,5,0
Female,Black,0-17,4,28520,2020-01-20,1,0
Female,Black,0-17,4,28521,2020-01-20,2,0
Female,Black,0-17,4,28522,2020-01-20,6,0
Female,Black,0-17,4,28523,2020-01-20,3,0
Female,Black,0-17,5,28512,2020-01-27,1,0
Female,Black,0-17,5,28513,2020-01-27,1,0
Female,Black,0-17,5,28515,2020-01-27,3,0
Female,Black,0-17,5,28518,2020-01-27,1,0
Female,Black,0-17,5,28519,2020-01-27,1,0
Female,Black,0-17,5,28520,2020-01-27,5,0
Female,Black,0-17,5,28521,2020-01-27,1,0
Female,Black,0-17,5,28522,2020-01-27,1,0
Female,Black,0-17,5,28523,2020-01-27,2,0
Female,Black,0-17,6,28512,2020-02-03,3,0
Female,Black,0-17,6,28513,2020-02-03,1,0
Female,Black,0-17,6,28515,2020-02-03,4,0
Female,Black,0-17,6,28516,2020-02-03,4,0
Female,Black,0-17,6,28518,2020-02-03,1,0
Female,Black,0-17,6,28519,2020-02-03,1,0
Female,Black,0-17,6,28520,2020-02-03,4,0
Female,Black,0-17,6,28521,2020-02-03,4,0
Female,Black,0-17,6,28522,2020-02-03,4,0
Female,Black,0-17,6,28523,2020-02-03,1,0
Female,Black,0-17,7,28512,2020-02-10,3,1
Female,Black,0-17,7,28513,2020-02-10,1,0
Female,Black,0-17,7,28515,2020-02-10,1,0
Female,Black,0-17,7,28516,2020-02-10,4,0
Female,Black,0-17,7,28518,2020-02-10,5,0
Female,Black,0-17,7,28519,2020-02-10,6,0
Female,Black,0-17,7,28520,2020-02-10,1,0
Female,Black,0-17,7,28521,2020-02-10,1,0
Female,Black,0-17,7,28522,2020-02-10,5,1
Female,Black,0-17,7,28523,2020-02-10,2,0
Female,Black,0-17,8,28513,2020-02-17,2,0
Female,Black,0-17,8,28515,2020-02-17,1,0
Female,Black,0-17,8,28516,2020-02-17,5,0
Female,Black,0-17,8,28518,2020-02-17,2,0
Female,Black,0-17,8,28519,2020-02-17,3,0
Female,Black,0-17,8,28520,2020-02-17,3,0
Female,Black,0-17,8,28521,2020-02-17,2,0
Female,Black,0-17,8,28522,2020-02-17,2,0
Female,Black,0-17,8,28523,2020-02-17,4,0
Female,Black,0-17,9,28513,2020-02-24,8,0
Female,Black,0-17,9,28515,2020-02-24,4,1
Female,Black,0-17,9,28516,2020-02-24,2,0
Female,Black,0-17,9,28519,2020-02-24,6,0
Female,Black,0-17,9,28520,2020-02-24,6,0
Female,Black,0-17,9,28521,2020-02-24,3,0
Female,Black,0-17,9,28522,2020-02-24,3,0
Female,Black,0-17,9,28523,2020-02-24,2,0
Female,Black,0-17,10,28512,2020-03-02,2,0
Female,Black,0-17,10,28513,2020-03-02,1,0
Female,Black,0-17,10,28515,2020-03-02,2,0
Female,Black,0-17,10,28516,2020-03-02,4,0
Female,Black,0-17,10,28518,2020-03-02,3,0
Female,Black,0-17,10,28519,2020-03-02,3,0
Female,Black,0-17,10,28520,2020-03-02,2,0
Female,Black,0-17,10,28521,2020-03-02,4,0
Female,Black,0-17,10,28522,2020-03-02,3,1
Female,Black,0-17,10,28523,2020-03-02,5,0
