sex,race,age,zip,county,state,total,positive
Female,Black,0-17,77830,48185,TX,24,17
Female,Black,0-17,77831,48185,TX,17,13
Female,Black,0-17,77833,48477,TX,19,10
Female,Black,0-17,77834,48477,TX,10,6
Female,Black,0-17,77835,48477,TX,18,8
Female,Black,0-17,77836,48051,TX,16,7
Female,Black,0-17,77837,48395,TX,16,8
Female,Black,0-17,77838,48051,TX,17,7
Female,Black,0-17,77840,48041,TX,9,4
Female,Black,0-17,77841,48041,TX,18,11
Female,Black,0-17,77842,48041,TX,16,9
Female,Black,0-17,77843,48041,TX,22,13
Female,Black,0-17,77844,48041,TX,23,12
Female,Black,0-17,77845,48041,TX,18,8
Female,Black,0-17,77850,48289,TX,9,1
Female,Black,0-17,77852,48051,TX,20,9
Female,Black,0-17,77853,48287,TX,20,15
Female,Black,0-17,77855,48289,TX,22,14
Female,Black,0-17,77856,48395,TX,9,5
Female,Black,0-17,77857,48331,TX,21,13
Female,Black,18-34,77830,48185,TX,14,9
Female,Black,18-34,77831,48185,TX,19,10
Female,Black,18-34,77833,48477,TX,20,14
Female,Black,18-34,77834,48477,TX,20,7
Female,Black,18-34,77835,48477,TX,16,5
Female,Black,18-34,77836,48051,TX,12,6
Female,Black,18-34,77837,48395,TX,15,9
Female,Black,18-34,77838,48051,TX,15,9
Female,Black,18-34,77840,48041,TX,21,13
Female,Black,18-34,77841,48041,TX,17,9
Female,Black,18-34,77842,48041,TX,14,6
Female,Black,18-34,77843,48041,TX,17,11
Female,Black,18-34,77844,48041,TX,17,7
Female,Black,18-34,77845,48041,TX,17,4
Female,Black,18-34,77850,48289,TX,17,9
Female,Black,18-34,77852,48051,TX,24,12
Female,Black,18-34,77853,48287,TX,20,12
Female,Black,18-34,77855,48289,TX,14,7
Female,Black,18-34,77856,48395,TX,23,13
Female,Black,18-34,77857,48331,TX,14,9
Female,Black,35-64,77830,48185,TX,18,17
Female,Black,35-64,77831,48185,TX,17,12
Female,Black,35-64,77833,48477,TX,17,12
Female,Black,35-64,77834,48477,TX,13,8
Female,Black,35-64,77835,48477,TX,17,9
Female,Black,35-64,77836,48051,TX,12,7
Female,Black,35-64,77837,48395,TX,13,11
Female,Black,35-64,77838,48051,TX,11,5
Female,Black,35-64,77840,48041,TX,10,7
Female,Black,35-64,77841,48041,TX,14,10
Female,Black,35-64,77842,48041,TX,22,19
Female,Black,35-64,77843,48041,TX,22,17
Female,Black,35-64,77844,48041,TX,22,18
Female,Black,35-64,77845,48041,TX,16,10
Female,Black,35-64,77850,48289,TX,12,3
Female,Black,35-64,77852,48051,TX,21,15
Female,Black,35-64,77853,48287,TX,17,15
Female,Black,35-64,77855,48289,TX,12,9
Female,Black,35-64,77856,48395,TX,18,10
Female,Black,35-64,77857,48331,TX,12,9
Female,Black,65-74,77830,48185,TX,17,11
Female,Black,65-74,77831,48185,TX,16,9
Female,Black,65-74,77833,48477,TX,17,8
Female,Black,65-74,77834,48477,TX,10,2
Female,Black,65-74,77835,48477,TX,15,6
Female,Black,65-74,77836,48051,TX,16,4
Female,Black,65-74,77837,48395,TX,14,6
Female,Black,65-74,77838,48051,TX,16,6
Female,Black,65-74,77840,48041,TX,14,4
