sex,race,age,zip,county,state,total,positive
Female,Black,0-17,97144,41067,OR,1,1
Female,Black,0-17,97145,41007,OR,3,1
Female,Black,0-17,97147,41057,OR,1,1
Female,Black,0-17,97148,41071,OR,3,2
Female,Black,0-17,97201,41051,OR,1,1
Female,Black,0-17,97203,41051,OR,3,1
Female,Black,0-17,97204,41051,OR,1,0
Female,Black,0-17,97205,41051,OR,1,0
Female,Black,0-17,97206,41051,OR,3,1
Female,Black,0-17,97207,41051,OR,2,2
Female,Black,0-17,97208,41051,OR,2,1
Female,Black,0-17,97210,41051,OR,1,0
Female,Black,0-17,97211,41051,OR,1,0
Female,Black,0-17,97212,41051,OR,2,1
Female,Black,18-34,97141,41057,OR,2,0
Female,Black,18-34,97144,41067,OR,3,2
Female,Black,18-34,97145,41007,OR,1,0
Female,Black,18-34,97146,41007,OR,3,3
Female,Black,18-34,97147,41057,OR,2,2
Female,Black,18-34,97148,41071,OR,2,2
Female,Black,18-34,97149,41057,OR,2,1
Female,Black,18-34,97201,41051,OR,2,1
Female,Black,18-34,97202,41051,OR,1,1
Female,Black,18-34,97203,41051,OR,1,1
Female,Black,18-34,97204,41051,OR,1,1
Female,Black,18-34,97206,41051,OR,3,1
Female,Black,18-34,97207,41051,OR,4,2
Female,Black,18-34,97208,41051,OR,1,0
Female,Black,18-34,97209,41051,OR,2,2
Female,Black,18-34,97210,41051,OR,2,1
Female,Black,18-34,97212,41051,OR,2,1
Female,Black,35-64,97141,41057,OR,2,0
Female,Black,35-64,97144,41067,OR,1,0
Female,Black,35-64,97145,41007,OR,1,1
Female,Black,35-64,97146,41007,OR,2,1
Female,Black,35-64,97147,41057,OR,3,3
Female,Black,35-64,97149,41057,OR,1,1
Female,Black,35-64,97201,41051,OR,1,1
Female,Black,35-64,97203,41051,OR,1,0
Female,Black,35-64,97204,41051,OR,5,5
Female,Black,35-64,97205,41051,OR,3,3
Female,Black,35-64,97206,41051,OR,2,1
Female,Black,35-64,97207,41051,OR,2,2
Female,Black,35-64,97208,41051,OR,3,1
Female,Black,35-64,97210,41051,OR,2,1
Female,Black,35-64,97211,41051,OR,4,2
Female,Black,35-64,97212,41051,OR,2,2
Female,Black,35-64,97213,41051,OR,2,2
Female,Black,65-74,97141,41057,OR,1,1
Female,Black,65-74,97144,41067,OR,3,3
Female,Black,65-74,97145,41007,OR,2,1
Female,Black,65-74,97146,41007,OR,1,1
Female,Black,65-74,97147,41057,OR,3,2
Female,Black,65-74,97148,41071,OR,2,2
Female,Black,65-74,97149,41057,OR,2,2
Female,Black,65-74,97201,41051,OR,3,2
Female,Black,65-74,97202,41051,OR,2,2
Female,Black,65-74,97203,41051,OR,3,2
Female,Black,65-74,97204,41051,OR,1,1
Female,Black,65-74,97205,41051,OR,3,3
Female,Black,65-74,97207,41051,OR,2,2
Female,Black,65-74,97208,41051,OR,2,1
Female,Black,65-74,97210,41051,OR,2,2
Female,Black,65-74,97211,41051,OR,1,1
Female,Black,65-74,97212,41051,OR,2,2
Female,Black,65-74,97213,41051,OR,2,2
Female,Black,75+,97141,41057,OR,4,1
Female,Black,75+,97146,41007,OR,2,1
Female,Black,75+,97147,41057,OR,1,0
Female,Black,75+,97148,41071,OR,1,1
Female,Black,75+,97149,41057,OR,1,1
Female,Black,75+,97201,41051,OR,2,0
Female,Black,75+,97202,41051,OR,1,1
Female,Black,75+,97203,41051,OR,4,2
Female,Black,75+,97204,41051,OR,3,3
Female,Black,75+,97205,41051,OR,1,1
Female,Black,75+,97206,41051,OR,2,2
Female,Black,75+,97207,41051,OR,3,3
Female,Black,75+,97209,41051,OR,2,1
Female,Black,75+,97210,41051,OR,3,0
Female,Black,75+,97211,41051,OR,4,3
Female,Black,75+,97212,41051,OR,2,0
Female,Black,75+,97213,41051,OR,1,0
Female,Other,0-17,97141,41057,OR,3,1
Female,Other,0-17,97144,41067,OR,2,1
Female,Other,0-17,97145,41007,OR,4,4
Female,Other,0-17,97146,41007,OR,3,3
Female,Other,0-17,97147,41057,OR,2,0
Female,Other,0-17,97148,41071,OR,1,1
Female,Other,0-17,97149,41057,OR,2,2
Female,Other,0-17,97201,41051,OR,2,1
Female,Other,0-17,97202,41051,OR,2,2
Female,Other,0-17,97204,41051,OR,1,1
Female,Other,0-17,97205,41051,OR,3,3
Female,Other,0-17,97206,41051,OR,4,2
Female,Other,0-17,97207,41051,OR,1,1
Female,Other,0-17,97208,41051,OR,1,0
Female,Other,0-17,97210,41051,OR,1,0
Female,Other,0-17,97211,41051,OR,1,1
Female,Other,0-17,97212,41051,OR,2,2
Female,Other,0-17,97213,41051,OR,2,1
Female,Other,18-34,97141,41057,OR,2,1
Female,Other,18-34,97144,41067,OR,1,1
Female,Other,18-34,97145,41007,OR,2,1
Female,Other,18-34,97147,41057,OR,2,0
Female,Other,18-34,97149,41057,OR,1,0
Female,Other,18-34,97201,41051,OR,2,2
Female,Other,18-34,97202,41051,OR,1,1
Female,Other,18-34,97203,41051,OR,3,1
Female,Other,18-34,97204,41051,OR,1,1
Female,Other,18-34,97207,41051,OR,2,1
Female,Other,18-34,97208,41051,OR,4,2
Female,Other,18-34,97209,41051,OR,2,2
Female,Other,18-34,97210,41051,OR,2,1
Female,Other,18-34,97211,41051,OR,3,3
Female,Other,18-34,97212,41051,OR,1,1
Female,Other,18-34,97213,41051,OR,1,1
Female,Other,35-64,97141,41057,OR,2,1
Female,Other,35-64,97144,41067,OR,2,2
Female,Other,35-64,97145,41007,OR,3,2
Female,Other,35-64,97146,41007,OR,1,0
Female,Other,35-64,97147,41057,OR,2,2
Female,Other,35-64,97149,41057,OR,2,0
Female,Other,35-64,97201,41051,OR,2,1
Female,Other,35-64,97202,41051,OR,3,3
Female,Other,35-64,97203,41051,OR,2,2
Female,Other,35-64,97204,41051,OR,1,1
Female,Other,35-64,97205,41051,OR,3,1
Female,Other,35-64,97206,41051,OR,1,1
Female,Other,35-64,97207,41051,OR,3,3
Female,Other,35-64,97208,41051,OR,1,1
Female,Other,35-64,97209,41051,OR,3,1
Female,Other,35-64,97210,41051,OR,2,2
Female,Other,35-64,97211,41051,OR,1,1
Female,Other,35-64,97212,41051,OR,2,2
Female,Other,35-64,97213,41051,OR,2,2
Female,Other,65-74,97141,41057,OR,1,0
