sex,race,age,zip,total,county,state
male,white,0-17,07890,388,34037,nj
male,white,18-34,07890,305,34037,nj
male,white,35-64,07890,888,34037,nj
male,white,65-74,07890,251,34037,nj
male,white,75+,07890,163,34037,nj
male,black,0-17,07890,0,34037,nj
male,black,18-34,07890,5,34037,nj
male,black,35-64,07890,12,34037,nj
male,black,65-74,07890,0,34037,nj
male,black,75+,07890,0,34037,nj
male,other,0-17,07890,20,34037,nj
male,other,18-34,07890,0,34037,nj
male,other,35-64,07890,0,34037,nj
male,other,65-74,07890,31,34037,nj
male,other,75+,07890,20,34037,nj
female,white,0-17,07890,399,34037,nj
female,white,18-34,07890,175,34037,nj
female,white,35-64,07890,940,34037,nj
female,white,65-74,07890,194,34037,nj
female,white,75+,07890,274,34037,nj
female,black,0-17,07890,3,34037,nj
female,black,18-34,07890,0,34037,nj
female,black,35-64,07890,11,34037,nj
female,black,65-74,07890,0,34037,nj
female,black,75+,07890,0,34037,nj
female,other,0-17,07890,11,34037,nj
female,other,18-34,07890,7,34037,nj
female,other,35-64,07890,67,34037,nj
female,other,65-74,07890,0,34037,nj
female,other,75+,07890,0,34037,nj
male,white,0-17,07901,3664,34039,nj
male,white,18-34,07901,1874,34039,nj
male,white,35-64,07901,6329,34039,nj
male,white,65-74,07901,1263,34039,nj
male,white,75+,07901,845,34039,nj
male,black,0-17,07901,105,34039,nj
male,black,18-34,07901,129,34039,nj
male,black,35-64,07901,260,34039,nj
male,black,65-74,07901,38,34039,nj
male,black,75+,07901,41,34039,nj
male,other,0-17,07901,947,34039,nj
male,other,18-34,07901,412,34039,nj
male,other,35-64,07901,1289,34039,nj
male,other,65-74,07901,129,34039,nj
male,other,75+,07901,75,34039,nj
female,white,0-17,07901,3835,34039,nj
female,white,18-34,07901,1765,34039,nj
female,white,35-64,07901,6112,34039,nj
female,white,65-74,07901,1361,34039,nj
female,white,75+,07901,1457,34039,nj
female,black,0-17,07901,194,34039,nj
female,black,18-34,07901,244,34039,nj
female,black,35-64,07901,391,34039,nj
female,black,65-74,07901,39,34039,nj
female,black,75+,07901,133,34039,nj
female,other,0-17,07901,968,34039,nj
female,other,18-34,07901,712,34039,nj
female,other,35-64,07901,1732,34039,nj
female,other,65-74,07901,184,34039,nj
female,other,75+,07901,197,34039,nj
male,white,0-17,07902,461,34039,nj
male,white,18-34,07902,275,34039,nj
male,white,35-64,07902,1139,34039,nj
male,white,65-74,07902,238,34039,nj
male,white,75+,07902,76,34039,nj
male,black,0-17,07902,0,34039,nj
male,black,18-34,07902,0,34039,nj
male,black,35-64,07902,0,34039,nj
male,black,65-74,07902,0,34039,nj
male,black,75+,07902,0,34039,nj
male,other,0-17,07902,187,34039,nj
male,other,18-34,07902,11,34039,nj
male,other,35-64,07902,264,34039,nj
male,other,65-74,07902,21,34039,nj
male,other,75+,07902,0,34039,nj
female,white,0-17,07902,831,34039,nj
female,white,18-34,07902,240,34039,nj
female,white,35-64,07902,885,34039,nj
female,white,65-74,07902,232,34039,nj
female,white,75+,07902,219,34039,nj
female,black,0-17,07902,35,34039,nj
female,black,18-34,07902,53,34039,nj
female,black,35-64,07902,36,34039,nj
female,black,65-74,07902,15,34039,nj
female,black,75+,07902,0,34039,nj
female,other,0-17,07902,89,34039,nj
female,other,18-34,07902,152,34039,nj
female,other,35-64,07902,340,34039,nj
female,other,65-74,07902,20,34039,nj
female,other,75+,07902,35,34039,nj
male,white,0-17,07920,3286,34035,nj
male,white,18-34,07920,2087,34035,nj
male,white,35-64,07920,6493,34035,nj
male,white,65-74,07920,1512,34035,nj
male,white,75+,07920,1129,34035,nj
male,black,0-17,07920,140,34035,nj
male,black,18-34,07920,127,34035,nj
male,black,35-64,07920,123,34035,nj
male,black,65-74,07920,39,34035,nj
male,black,75+,07920,12,34035,nj
male,other,0-17,07920,963,34035,nj
male,other,18-34,07920,276,34035,nj
male,other,35-64,07920,1314,34035,nj
male,other,65-74,07920,199,34035,nj
male,other,75+,07920,116,34035,nj
female,white,0-17,07920,3058,34035,nj
female,white,18-34,07920,1961,34035,nj
female,white,35-64,07920,7017,34035,nj
female,white,65-74,07920,1752,34035,nj
female,white,75+,07920,1503,34035,nj
female,black,0-17,07920,0,34035,nj
female,black,18-34,07920,30,34035,nj
female,black,35-64,07920,171,34035,nj
female,black,65-74,07920,22,34035,nj
female,black,75+,07920,70,34035,nj
female,other,0-17,07920,1026,34035,nj
female,other,18-34,07920,423,34035,nj
female,other,35-64,07920,1361,34035,nj
female,other,65-74,07920,108,34035,nj
female,other,75+,07920,134,34035,nj
male,white,0-17,07921,198,34035,nj
male,white,18-34,07921,75,34035,nj
male,white,35-64,07921,423,34035,nj
male,white,65-74,07921,145,34035,nj
male,white,75+,07921,62,34035,nj
male,black,0-17,07921,0,34035,nj
male,black,18-34,07921,0,34035,nj
male,black,35-64,07921,0,34035,nj
male,black,65-74,07921,0,34035,nj
male,black,75+,07921,0,34035,nj
male,other,0-17,07921,17,34035,nj
male,other,18-34,07921,9,34035,nj
male,other,35-64,07921,0,34035,nj
male,other,65-74,07921,0,34035,nj
male,other,75+,07921,2,34035,nj
female,white,0-17,07921,169,34035,nj
female,white,18-34,07921,172,34035,nj
female,white,35-64,07921,458,34035,nj
female,white,65-74,07921,166,34035,nj
female,white,75+,07921,108,34035,nj
female,black,0-17,07921,4,34035,nj
female,black,18-34,07921,12,34035,nj
female,black,35-64,07921,0,34035,nj
female,black,65-74,07921,0,34035,nj
female,black,75+,07921,0,34035,nj
female,other,0-17,07921,14,34035,nj
female,other,18-34,07921,28,34035,nj
female,other,35-64,07921,17,34035,nj
female,other,65-74,07921,0,34035,nj
female,other,75+,07921,4,34035,nj
male,white,0-17,07922,2912,34039,nj
male,white,18-34,07922,1691,34039,nj
male,white,35-64,07922,4923,34039,nj
male,white,65-74,07922,1149,34039,nj
male,white,75+,07922,804,34039,nj
male,black,0-17,07922,37,34039,nj
male,black,18-34,07922,13,34039,nj
male,black,35-64,07922,41,34039,nj
male,black,65-74,07922,18,34039,nj
male,black,75+,07922,8,34039,nj
male,other,0-17,07922,615,34039,nj
male,other,18-34,07922,283,34039,nj
male,other,35-64,07922,950,34039,nj
male,other,65-74,07922,234,34039,nj
male,other,75+,07922,85,34039,nj
female,white,0-17,07922,2524,34039,nj
female,white,18-34,07922,1841,34039,nj
female,white,35-64,07922,5201,34039,nj
female,white,65-74,07922,1136,34039,nj
female,white,75+,07922,1608,34039,nj
female,black,0-17,07922,40,34039,nj
female,black,18-34,07922,43,34039,nj
female,black,35-64,07922,79,34039,nj
female,black,65-74,07922,32,34039,nj
female,black,75+,07922,23,34039,nj
female,other,0-17,07922,667,34039,nj
female,other,18-34,07922,406,34039,nj
female,other,35-64,07922,1226,34039,nj
female,other,65-74,07922,205,34039,nj
female,other,75+,07922,196,34039,nj
male,white,0-17,07924,1400,34035,nj
male,white,18-34,07924,681,34035,nj
male,white,35-64,07924,2502,34035,nj
male,white,65-74,07924,490,34035,nj
male,white,75+,07924,313,34035,nj
male,black,0-17,07924,0,34035,nj
male,black,18-34,07924,12,34035,nj
male,black,35-64,07924,19,34035,nj
male,black,65-74,07924,0,34035,nj
male,black,75+,07924,0,34035,nj
male,other,0-17,07924,161,34035,nj
male,other,18-34,07924,125,34035,nj
male,other,35-64,07924,161,34035,nj
male,other,65-74,07924,40,34035,nj
male,other,75+,07924,42,34035,nj
female,white,0-17,07924,1284,34035,nj
female,white,18-34,07924,738,34035,nj
female,white,35-64,07924,2545,34035,nj
female,white,65-74,07924,572,34035,nj
