sex,race,age,zip,county,state,outcome
Female,Black,71,34479,12083,FL,0.44423299717370135
Male,Other,52,34481,12083,FL,-0.11432609581205189
Male,Black,43,34478,12083,FL,2.641570563740328
Male,Black,97,34483,12083,FL,-0.6100059067067756
Female,White,1,34474,12083,FL,-1.0223812050832708
Male,Black,87,34475,12083,FL,-0.9474651641468819
Female,White,54,34483,12083,FL,-1.034715022376739
Male,White,73,34481,12083,FL,-0.574896609363695
Female,Other,67,34479,12083,FL,2.619245697780472
Male,Other,9,34482,12083,FL,-1.8292634216564483
Female,Other,33,34477,12083,FL,-0.5368059363201134
Male,White,9,34481,12083,FL,-1.0077310647692908
Female,White,26,34475,12083,FL,-0.5909667108031206
Male,White,57,34477,12083,FL,-1.298983282028114
Female,Black,80,34478,12083,FL,0.7164696022783539
Male,Black,46,34475,12083,FL,-1.2362328217680356
Female,Black,7,34478,12083,FL,-0.04065001608769353
Female,Black,20,34474,12083,FL,0.38784539601092094
Male,Black,21,34480,12083,FL,-0.5102733618798647
Male,White,40,34479,12083,FL,-0.23177369957973842
Male,Other,55,34481,12083,FL,1.8068323554437185
Male,Black,87,34478,12083,FL,0.2631143237272179
Male,Other,8,34477,12083,FL,0.47739431288227197
Female,White,31,34483,12083,FL,1.3573105516985557
Male,Other,68,34479,12083,FL,0.12115160300147698
Male,Black,88,34481,12083,FL,0.8447803488761422
Female,Black,10,34478,12083,FL,0.5310992535344969
Male,Black,16,34478,12083,FL,-2.2580977989808977
Male,White,55,34477,12083,FL,0.007501991398446206
Female,White,83,34481,12083,FL,0.6800312001850038
Female,Black,17,34478,12083,FL,0.19054765083613673
Female,Other,80,34481,12083,FL,1.5716860603178684
Female,Black,29,34479,12083,FL,2.1749557142270817
Female,Black,42,34474,12083,FL,-0.38892863970054253
Male,White,91,34476,12083,FL,-0.23380614803033667
Male,Other,39,34478,12083,FL,0.5257121669463403
Female,Other,91,34483,12083,FL,-1.6370336633888583
Male,Other,59,34475,12083,FL,-1.0030120114851853
Female,Black,93,34475,12083,FL,-0.39383333664859776
Male,Black,67,34474,12083,FL,-0.9098632289066363
Female,Black,100,34478,12083,FL,1.3926449214117071
Female,Other,28,34479,12083,FL,-0.6997354126553637
Male,White,78,34476,12083,FL,2.0391719182917023
Female,White,6,34474,12083,FL,-1.7910098402006214
Male,Other,23,34483,12083,FL,0.8210456794914888
Male,White,52,34474,12083,FL,-2.4708737894544166
Male,White,80,34477,12083,FL,-1.5228246495126556
Male,White,70,34482,12083,FL,-1.609221298805927
Male,Black,54,34480,12083,FL,1.579028809915211
Female,White,72,34476,12083,FL,1.9037041739651612
Female,White,42,34481,12083,FL,-1.5409390222749728
Male,White,58,34477,12083,FL,-0.7060127655358599
Male,Black,84,34480,12083,FL,-1.0433085982102472
Female,Other,17,34480,12083,FL,-0.6165722971637817
Female,White,79,34477,12083,FL,-1.6591265715919565
Male,Black,76,34477,12083,FL,0.05360851549499834
Female,White,73,34477,12083,FL,0.9955571743130102
Male,Other,3,34477,12083,FL,-1.4619307695087587
Male,Other,96,34476,12083,FL,1.2046524575806208
Female,White,93,34483,12083,FL,-1.4015384645117068
Male,Black,27,34483,12083,FL,-1.6325679751697248
Male,White,20,34474,12083,FL,-0.28780279089459315
Female,Black,54,34479,12083,FL,-0.9317807312141501
Female,Black,23,34483,12083,FL,0.5341445088241246
Female,Black,70,34474,12083,FL,-0.2979960359595953
Male,Black,25,34476,12083,FL,0.10398538074340691
Female,Black,42,34475,12083,FL,-0.08825209978061355
Female,Other,75,34480,12083,FL,-0.33661945500125656
Male,Black,93,34477,12083,FL,0.6466560500257748
Male,Other,13,34474,12083,FL,0.22485286014881234
Male,Other,73,34479,12083,FL,1.3426072435860208
Female,Black,89,34480,12083,FL,1.0155584533875261
Male,White,19,34476,12083,FL,0.2331084996065319
Female,Black,40,34480,12083,FL,-0.7595433936645443
Female,White,79,34475,12083,FL,0.6919649710697793
Female,White,62,34478,12083,FL,-1.841183733364867
Male,Other,5,34480,12083,FL,0.9773016217150696
Female,Other,56,34483,12083,FL,-1.52553806486275
Male,Other,92,34483,12083,FL,-0.34437938585554806
Female,Other,68,34474,12083,FL,0.8126077478235785
Female,White,57,34482,12083,FL,-0.7752893181417784
Male,Other,70,34476,12083,FL,3.0108052527119544
Male,White,6,34478,12083,FL,-1.7251487273551858
Female,Other,23,34480,12083,FL,0.5295567625411587
Female,Black,59,34477,12083,FL,-0.6493104144496957
Male,Other,71,34476,12083,FL,1.0080527810093196
Male,White,23,34475,12083,FL,-0.4856745332290372
Female,White,65,34477,12083,FL,-0.3050398267792722
Male,White,2,34479,12083,FL,-1.4206051505339232
Female,White,14,34476,12083,FL,-0.9314732506041894
