zip,sex,race,age,county,state,outcome
24062,female,black,0-17,51121,51,9.56011908273254
24062,female,other,65-74,51121,51,6.520152212252102
24062,female,black,75+,51121,51,8.170165610846887
24062,male,black,35-64,51121,51,6.48843687040707
24062,male,white,0-17,51121,51,4.751106395414431
24062,male,white,18-34,51121,51,4.0773638156831025
24062,female,white,18-34,51121,51,4.9699916840612435
24062,male,white,35-64,51121,51,6.832899227045055
24062,female,black,65-74,51121,51,5.050525850116056
24062,male,white,75+,51121,51,5.77611251293436
24062,male,black,65-74,51121,51,2.681782321961274
24062,female,white,75+,51121,51,7.787403455812243
24062,female,black,65-74,51121,51,3.525233668933594
24062,female,black,0-17,51121,51,7.996582200606358
24062,female,white,35-64,51121,51,8.367105114117209
24062,male,other,65-74,51121,51,3.4913539839091015
24062,female,white,65-74,51121,51,4.105687709486159
24062,female,white,65-74,51121,51,5.34644821433357
24062,male,white,75+,51121,51,3.7169192067239663
24062,male,white,18-34,51121,51,2.218858657992693
24062,male,white,0-17,51121,51,6.638738209503571
24062,female,white,75+,51121,51,7.426933026105668
24062,female,white,35-64,51121,51,8.289942522626681
24062,male,white,0-17,51121,51,7.609569883516615
24062,male,black,75+,51121,51,4.948945942696134
24062,female,black,75+,51121,51,7.15015131462496
24062,female,other,35-64,51121,51,8.793848552995813
24062,female,white,0-17,51121,51,8.187305538893908
24062,female,black,75+,51121,51,8.080062426215862
24062,female,other,75+,51121,51,8.795825617464235
24062,female,black,75+,51121,51,7.609045418074002
24062,male,white,65-74,51121,51,2.196321565149555
24062,female,white,65-74,51121,51,5.301910555761575
24062,male,other,18-34,51121,51,3.5227772870661447
24062,male,white,35-64,51121,51,6.633253827442693
24062,male,white,65-74,51121,51,3.8411634382343025
24062,female,other,18-34,51121,51,6.629628035864922
24062,male,white,65-74,51121,51,2.956998533706826
24062,female,white,0-17,51121,51,9.00863802756233
24062,female,black,75+,51121,51,6.609704168427983
24062,male,other,35-64,51121,51,7.433457024161278
24062,female,black,65-74,51121,51,6.294452997274413
24062,male,black,35-64,51121,51,6.881264890806824
24062,male,white,18-34,51121,51,4.4985002090547805
24062,male,white,65-74,51121,51,4.475587099491497
24062,male,black,0-17,51121,51,5.099428336246045
24062,male,black,75+,51121,51,4.034810109547209
24062,female,other,75+,51121,51,9.15464425584682
24062,female,black,18-34,51121,51,4.517502564834211
24062,male,white,35-64,51121,51,8.246636502276251
24062,male,white,65-74,51121,51,1.838207852737548
24062,male,black,35-64,51121,51,4.759486217291174
24062,female,black,75+,51121,51,7.227210816028196
24062,female,other,65-74,51121,51,5.800163202791299
24062,female,white,35-64,51121,51,10.303986366189797
24062,male,black,65-74,51121,51,2.5300104569809574
24062,female,white,18-34,51121,51,6.669428574885041
24062,female,black,65-74,51121,51,4.718165677104588
24062,male,black,75+,51121,51,7.234718508779998
24062,female,white,18-34,51121,51,5.0314533686590375
24062,female,white,75+,51121,51,6.678928809435956
24062,female,other,18-34,51121,51,7.768085660524298
24062,male,white,18-34,51121,51,4.558080979797042
