state,race,sex,age,edu,total,repvote
01,white,female,18-29,no hs,20390,0.643741436
01,white,female,18-29,hs,66649,0.643741436
01,white,female,18-29,some college,103260,0.643741436
01,white,female,18-29,4-year college,43469,0.643741436
01,white,female,18-29,post-grad,10574,0.643741436
01,white,female,30-39,no hs,13255,0.643741436
01,white,female,30-39,hs,41917,0.643741436
01,white,female,30-39,some college,63876,0.643741436
01,white,female,30-39,4-year college,48302,0.643741436
01,white,female,30-39,post-grad,26997,0.643741436
01,white,female,40-49,no hs,15625,0.643741436
01,white,female,40-49,hs,47475,0.643741436
01,white,female,40-49,some college,66636,0.643741436
01,white,female,40-49,4-year college,44407,0.643741436
01,white,female,40-49,post-grad,29748,0.643741436
01,white,female,50-59,no hs,19552,0.643741436
01,white,female,50-59,hs,64217,0.643741436
01,white,female,50-59,some college,75075,0.643741436
01,white,female,50-59,4-year college,39687,0.643741436
01,white,female,50-59,post-grad,25433,0.643741436
01,white,female,60-69,no hs,20566,0.643741436
01,white,female,60-69,hs,71226,0.643741436
01,white,female,60-69,some college,74278,0.643741436
01,white,female,60-69,4-year college,35445,0.643741436
01,white,female,60-69,post-grad,25779,0.643741436
01,white,female,70+,no hs,38518,0.643741436
01,white,female,70+,hs,106328,0.643741436
01,white,female,70+,some college,66305,0.643741436
01,white,female,70+,4-year college,28532,0.643741436
01,white,female,70+,post-grad,22114,0.643741436
01,white,male,18-29,no hs,27564,0.643741436
01,white,male,18-29,hs,88072,0.643741436
01,white,male,18-29,some college,94332,0.643741436
01,white,male,18-29,4-year college,33291,0.643741436
01,white,male,18-29,post-grad,6832,0.643741436
01,white,male,30-39,no hs,17152,0.643741436
01,white,male,30-39,hs,57470,0.643741436
01,white,male,30-39,some college,61615,0.643741436
01,white,male,30-39,4-year college,40761,0.643741436
01,white,male,30-39,post-grad,19312,0.643741436
01,white,male,40-49,no hs,24735,0.643741436
01,white,male,40-49,hs,55603,0.643741436
01,white,male,40-49,some college,59444,0.643741436
01,white,male,40-49,4-year college,38347,0.643741436
01,white,male,40-49,post-grad,22065,0.643741436
01,white,male,50-59,no hs,28752,0.643741436
01,white,male,50-59,hs,69861,0.643741436
01,white,male,50-59,some college,64548,0.643741436
01,white,male,50-59,4-year college,38406,0.643741436
01,white,male,50-59,post-grad,24274,0.643741436
01,white,male,60-69,no hs,25917,0.643741436
01,white,male,60-69,hs,65005,0.643741436
01,white,male,60-69,some college,62455,0.643741436
01,white,male,60-69,4-year college,37513,0.643741436
01,white,male,60-69,post-grad,24221,0.643741436
