sex,race,age,edu,state,total,positive
Female,Black,0-17,4-Year College,CA,1,0
Female,Black,0-17,4-Year College,CO,1,0
Female,Black,0-17,4-Year College,CT,3,1
Female,Black,0-17,4-Year College,DC,2,1
Female,Black,0-17,4-Year College,DE,2,1
Female,Black,0-17,4-Year College,FL,1,1
Female,Black,0-17,4-Year College,GA,1,1
Female,Black,0-17,4-Year College,GU,1,1
Female,Black,0-17,4-Year College,HI,2,1
Female,Black,0-17,4-Year College,ID,3,1
Female,Black,0-17,4-Year College,IL,2,2
Female,Black,0-17,4-Year College,KS,2,0
Female,Black,0-17,4-Year College,KY,1,1
Female,Black,0-17,4-Year College,LA,1,0
Female,Black,0-17,4-Year College,MA,3,3
Female,Black,0-17,4-Year College,MI,1,1
Female,Black,0-17,4-Year College,MO,2,0
Female,Black,0-17,4-Year College,MS,1,1
Female,Black,0-17,4-Year College,MT,1,0
Female,Black,0-17,4-Year College,NC,2,0
Female,Black,0-17,4-Year College,ND,1,0
Female,Black,0-17,4-Year College,NE,1,0
Female,Black,0-17,4-Year College,NH,2,0
Female,Black,0-17,4-Year College,NJ,2,0
Female,Black,0-17,4-Year College,NM,2,1
Female,Black,0-17,4-Year College,NV,2,0
Female,Black,0-17,4-Year College,NY,1,0
Female,Black,0-17,4-Year College,OH,2,2
Female,Black,0-17,4-Year College,OK,4,2
Female,Black,0-17,4-Year College,OR,1,0
Female,Black,0-17,4-Year College,PA,2,1
Female,Black,0-17,4-Year College,PR,1,0
Female,Black,0-17,4-Year College,RI,2,0
Female,Black,0-17,4-Year College,SC,1,1
Female,Black,0-17,4-Year College,TN,5,2
Female,Black,0-17,4-Year College,UT,1,1
Female,Black,0-17,4-Year College,VA,3,3
Female,Black,0-17,4-Year College,VI,2,0
Female,Black,0-17,HS,CA,1,1
Female,Black,0-17,HS,DC,4,2
Female,Black,0-17,HS,DE,4,2
Female,Black,0-17,HS,GA,1,1
Female,Black,0-17,HS,HI,1,1
Female,Black,0-17,HS,IA,3,3
Female,Black,0-17,HS,ID,1,0
Female,Black,0-17,HS,IL,2,1
Female,Black,0-17,HS,IN,3,2
Female,Black,0-17,HS,KS,1,1
Female,Black,0-17,HS,KY,1,0
Female,Black,0-17,HS,LA,2,1
Female,Black,0-17,HS,MA,3,1
Female,Black,0-17,HS,MD,2,1
Female,Black,0-17,HS,MO,2,1
Female,Black,0-17,HS,MT,2,2
Female,Black,0-17,HS,NC,1,1
Female,Black,0-17,HS,ND,1,1
Female,Black,0-17,HS,NE,2,1
Female,Black,0-17,HS,NH,1,0
Female,Black,0-17,HS,NJ,2,1
Female,Black,0-17,HS,NM,1,0
Female,Black,0-17,HS,NV,1,1
Female,Black,0-17,HS,OK,2,2
Female,Black,0-17,HS,PA,1,0
Female,Black,0-17,HS,PR,1,1
Female,Black,0-17,HS,SC,1,1
Female,Black,0-17,HS,SD,3,1
Female,Black,0-17,HS,TN,2,1
Female,Black,0-17,HS,VA,2,2
Female,Black,0-17,No HS,CA,5,4
Female,Black,0-17,No HS,CO,1,0
Female,Black,0-17,No HS,CT,2,1
Female,Black,0-17,No HS,DC,2,2
Female,Black,0-17,No HS,DE,1,1
Female,Black,0-17,No HS,FL,5,3
Female,Black,0-17,No HS,GA,2,2
Female,Black,0-17,No HS,GU,1,1
Female,Black,0-17,No HS,HI,2,1
Female,Black,0-17,No HS,IA,3,0
Female,Black,0-17,No HS,ID,3,0
Female,Black,0-17,No HS,IL,3,3
Female,Black,0-17,No HS,IN,4,1
Female,Black,0-17,No HS,KS,1,1
Female,Black,0-17,No HS,LA,3,3
Female,Black,0-17,No HS,MA,2,0
Female,Black,0-17,No HS,MD,1,0
Female,Black,0-17,No HS,MN,2,1
Female,Black,0-17,No HS,MS,2,2
Female,Black,0-17,No HS,MT,1,1
Female,Black,0-17,No HS,NC,3,1
Female,Black,0-17,No HS,ND,2,1
Female,Black,0-17,No HS,NE,1,1
Female,Black,0-17,No HS,NH,1,0
Female,Black,0-17,No HS,NJ,2,0
Female,Black,0-17,No HS,NM,2,2
Female,Black,0-17,No HS,NV,1,1
Female,Black,0-17,No HS,NY,3,3
Female,Black,0-17,No HS,OH,2,1
Female,Black,0-17,No HS,OK,1,1
Female,Black,0-17,No HS,PA,1,1
Female,Black,0-17,No HS,PR,1,0
Female,Black,0-17,No HS,RI,2,2
Female,Black,0-17,No HS,SC,3,2
Female,Black,0-17,No HS,TN,1,1
Female,Black,0-17,No HS,VA,4,4
Female,Black,0-17,No HS,VI,2,2
Female,Black,0-17,Post-Grad,CO,1,1
Female,Black,0-17,Post-Grad,CT,3,2
Female,Black,0-17,Post-Grad,DC,1,0
Female,Black,0-17,Post-Grad,DE,1,1
Female,Black,0-17,Post-Grad,GA,1,1
Female,Black,0-17,Post-Grad,GU,1,1
Female,Black,0-17,Post-Grad,HI,3,3
Female,Black,0-17,Post-Grad,ID,1,1
Female,Black,0-17,Post-Grad,IL,2,1
Female,Black,0-17,Post-Grad,IN,1,0
Female,Black,0-17,Post-Grad,KS,4,4
Female,Black,0-17,Post-Grad,KY,2,2
Female,Black,0-17,Post-Grad,LA,4,3
Female,Black,0-17,Post-Grad,MA,1,0
Female,Black,0-17,Post-Grad,MD,1,0
Female,Black,0-17,Post-Grad,MN,1,0
Female,Black,0-17,Post-Grad,MO,3,3
Female,Black,0-17,Post-Grad,MS,1,1
Female,Black,0-17,Post-Grad,MT,1,1
Female,Black,0-17,Post-Grad,ND,1,0
Female,Black,0-17,Post-Grad,NH,3,2
Female,Black,0-17,Post-Grad,NJ,1,1
Female,Black,0-17,Post-Grad,NM,2,2
Female,Black,0-17,Post-Grad,NV,5,5
Female,Black,0-17,Post-Grad,OK,2,1
Female,Black,0-17,Post-Grad,PA,2,1
Female,Black,0-17,Post-Grad,PR,3,3
Female,Black,0-17,Post-Grad,RI,2,1
Female,Black,0-17,Post-Grad,SC,1,1
Female,Black,0-17,Post-Grad,SD,3,3
Female,Black,0-17,Post-Grad,UT,2,1
Female,Black,0-17,Post-Grad,VA,3,2
Female,Black,0-17,Post-Grad,VI,1,0
Female,Black,0-17,Some College,CA,1,0
Female,Black,0-17,Some College,CT,1,1
Female,Black,0-17,Some College,DC,3,3
Female,Black,0-17,Some College,GA,2,1
Female,Black,0-17,Some College,GU,1,1
Female,Black,0-17,Some College,HI,3,3
Female,Black,0-17,Some College,IA,2,2
Female,Black,0-17,Some College,ID,1,0
Female,Black,0-17,Some College,IL,1,1
Female,Black,0-17,Some College,IN,3,1
Female,Black,0-17,Some College,KS,2,1
Female,Black,0-17,Some College,KY,2,1
Female,Black,0-17,Some College,LA,2,2
Female,Black,0-17,Some College,MA,2,2
Female,Black,0-17,Some College,MD,1,0
Female,Black,0-17,Some College,MI,2,2
Female,Black,0-17,Some College,MN,3,2
Female,Black,0-17,Some College,MO,1,1
Female,Black,0-17,Some College,MS,3,0
Female,Black,0-17,Some College,MT,1,1
Female,Black,0-17,Some College,NC,1,0
Female,Black,0-17,Some College,ND,1,1
Female,Black,0-17,Some College,NH,3,3
Female,Black,0-17,Some College,NJ,4,1
Female,Black,0-17,Some College,NM,3,1
Female,Black,0-17,Some College,NV,1,1
Female,Black,0-17,Some College,NY,1,1
Female,Black,0-17,Some College,OH,1,0
Female,Black,0-17,Some College,OK,2,2
Female,Black,0-17,Some College,PA,3,2
Female,Black,0-17,Some College,PR,3,3
Female,Black,0-17,Some College,RI,3,3
Female,Black,0-17,Some College,TN,3,2
Female,Black,0-17,Some College,TX,2,2
Female,Black,0-17,Some College,UT,3,3
Female,Black,0-17,Some College,VA,1,0
Female,Black,18-34,4-Year College,CA,2,0
Female,Black,18-34,4-Year College,CO,1,0
Female,Black,18-34,4-Year College,CT,1,0
Female,Black,18-34,4-Year College,DC,2,1
Female,Black,18-34,4-Year College,DE,1,1
Female,Black,18-34,4-Year College,FL,1,1
Female,Black,18-34,4-Year College,GU,4,4
Female,Black,18-34,4-Year College,HI,2,1
Female,Black,18-34,4-Year College,KS,2,2
Female,Black,18-34,4-Year College,KY,2,0
Female,Black,18-34,4-Year College,LA,2,2
Female,Black,18-34,4-Year College,MA,1,0
Female,Black,18-34,4-Year College,MD,1,0
Female,Black,18-34,4-Year College,ME,1,0
Female,Black,18-34,4-Year College,MI,2,0
Female,Black,18-34,4-Year College,MS,1,0
Female,Black,18-34,4-Year College,MT,3,3
Female,Black,18-34,4-Year College,NC,1,0
Female,Black,18-34,4-Year College,ND,2,0
Female,Black,18-34,4-Year College,NE,4,3
Female,Black,18-34,4-Year College,NH,1,1
Female,Black,18-34,4-Year College,NJ,1,0
Female,Black,18-34,4-Year College,NV,3,2
Female,Black,18-34,4-Year College,OH,4,3
Female,Black,18-34,4-Year College,OK,1,0
Female,Black,18-34,4-Year College,OR,1,0
Female,Black,18-34,4-Year College,PA,4,1
Female,Black,18-34,4-Year College,PR,1,1
Female,Black,18-34,4-Year College,SC,3,2
Female,Black,18-34,4-Year College,TN,1,1
Female,Black,18-34,4-Year College,TX,2,1
Female,Black,18-34,4-Year College,UT,1,0
Female,Black,18-34,4-Year College,VA,2,1
Female,Black,18-34,HS,CA,1,0
Female,Black,18-34,HS,CO,2,2
Female,Black,18-34,HS,CT,2,1
Female,Black,18-34,HS,DC,1,0
Female,Black,18-34,HS,DE,4,2
Female,Black,18-34,HS,FL,5,4
Female,Black,18-34,HS,GA,2,0
Female,Black,18-34,HS,HI,1,1
Female,Black,18-34,HS,IA,1,0
Female,Black,18-34,HS,IN,2,1
Female,Black,18-34,HS,KS,1,1
Female,Black,18-34,HS,LA,3,1
Female,Black,18-34,HS,MD,4,2
Female,Black,18-34,HS,ME,5,3
Female,Black,18-34,HS,MI,3,2
