sex,race,age,edu,state,positive
Female,Black,73,No HS,GA,0
Male,Other,18,HS,DC,1
Female,Other,74,Some College,ME,1
Female,White,13,HS,NH,1
Male,Black,92,4-Year College,ND,0
Female,Black,76,HS,CA,1
Female,Black,71,Some College,FL,0
Female,Other,60,Some College,NE,1
Female,Black,37,4-Year College,KS,0
Male,Black,89,No HS,TN,1
Male,White,89,Post-Grad,PA,1
Female,Other,55,Some College,NE,1
Male,White,50,No HS,MI,0
Male,Black,71,Some College,GU,1
Male,Black,18,HS,CT,1
Female,Other,87,Some College,MN,1
Male,Other,73,HS,MO,0
Female,Black,41,Some College,DC,1
Female,Black,72,No HS,RI,1
Female,Black,33,4-Year College,UT,0
Male,White,6,No HS,GU,0
Male,Other,68,4-Year College,TN,0
Male,Black,10,No HS,DE,0
Female,Black,68,4-Year College,CA,0
Male,Other,27,Some College,CO,0
Female,Black,37,Some College,NJ,0
Female,White,74,Some College,OK,1
Male,White,67,HS,NC,1
Female,Other,14,Post-Grad,MT,1
Male,Black,20,4-Year College,NM,0
Female,Black,65,No HS,IN,0
Male,Black,79,HS,TN,0
Female,Other,51,4-Year College,VA,1
Male,Black,23,Some College,ND,0
Male,Other,70,No HS,MS,0
Male,Black,99,Post-Grad,CO,0
Male,Other,83,Post-Grad,IL,0
Male,Other,68,Post-Grad,CO,0
Female,Black,8,No HS,MS,1
Male,Other,99,No HS,NM,0
Male,Other,29,Post-Grad,KY,1
Male,White,0,HS,TN,0
Female,Black,85,4-Year College,VI,1
Male,Other,74,Post-Grad,NJ,0
Male,Other,55,Post-Grad,PA,1
Male,White,55,4-Year College,IA,1
Female,Black,18,Post-Grad,TN,0
Male,Black,65,Some College,ND,0
Female,White,94,4-Year College,UT,0
Female,Black,5,Some College,IN,1
Male,White,21,4-Year College,FL,0
Male,Black,13,4-Year College,VA,0
Female,White,72,No HS,KY,0
Female,White,67,Some College,MI,0
Male,White,44,Post-Grad,ND,0
Male,Other,74,No HS,MN,1
Female,Other,15,No HS,NY,1
Female,White,54,HS,HI,1
Female,White,35,Post-Grad,VA,1
Male,White,24,4-Year College,NE,1
Male,Other,31,Some College,ID,0
Female,White,75,No HS,ID,1
Male,White,6,4-Year College,RI,0
Male,Black,29,No HS,VA,0
Female,White,62,4-Year College,SD,0
Female,Black,74,Post-Grad,VA,0
Male,Black,98,Post-Grad,NM,1
Female,Other,30,No HS,NY,0
Female,Other,12,Post-Grad,MD,1
Male,White,0,4-Year College,HI,0
Male,Other,45,Post-Grad,OK,1
Male,Black,44,Some College,ME,1
Male,Black,72,Some College,NH,0
Female,White,79,Some College,CA,1
Female,Black,10,Post-Grad,NV,1
Female,White,40,HS,FL,1
Female,Other,32,No HS,IL,0
Male,Black,0,4-Year College,MD,0
Female,White,5,4-Year College,ID,0
Male,Black,29,4-Year College,KS,0
Female,White,19,No HS,IA,1
Female,Black,7,4-Year College,NE,0
Female,Other,10,HS,TN,1
Male,White,65,4-Year College,TX,0
Male,White,95,No HS,KS,1
Female,Black,17,Some College,MN,1
Female,White,27,Some College,MT,1
Female,White,33,Post-Grad,NJ,0
Female,White,34,Post-Grad,OH,1
Female,White,6,No HS,ME,1
Female,Black,86,Some College,NV,1
Male,White,16,Some College,RI,1
Female,Black,28,HS,LA,0
Female,Black,41,HS,VI,0
Male,Black,72,4-Year College,MA,0
Female,White,45,Some College,IN,0
Male,Other,34,HS,GA,1
Male,Black,27,No HS,NV,1
Female,Other,42,No HS,NE,0
Male,Other,69,Some College,NE,1
Female,Other,64,HS,SD,0
Male,White,25,No HS,RI,1
Female,Other,9,HS,IL,0
Male,White,94,Some College,IN,1
Male,White,14,Post-Grad,MI,1
Male,White,65,4-Year College,OR,0
Male,Other,89,4-Year College,VA,0
Male,Other,78,No HS,NH,1
Female,Other,35,No HS,VI,0
Male,Black,72,No HS,NY,1
Female,Other,28,Some College,NM,1
Male,Black,70,4-Year College,CT,0
Female,Other,0,No HS,FL,1
Male,White,7,Post-Grad,MA,1
Male,Black,58,Post-Grad,MN,0
Male,Other,32,4-Year College,MA,0
Male,Other,15,4-Year College,SD,0
Female,Black,84,Post-Grad,NJ,0
Male,Other,20,4-Year College,MS,0
Female,White,32,4-Year College,DC,1
Female,White,28,HS,DC,1
Male,White,66,Some College,TN,1
Male,Black,15,No HS,MN,0
Female,Black,34,HS,SD,0
Female,White,69,HS,VI,1
Female,White,3,HS,CO,1
Male,Black,89,HS,OR,0
Male,White,11,Some College,NY,1
Female,White,73,No HS,NH,0
Female,Black,5,HS,CA,1
Male,Other,66,Some College,MA,0
Female,White,87,Post-Grad,NC,1
Female,Other,88,No HS,NV,1
Female,Black,11,No HS,NC,0
Female,White,83,No HS,HI,1
