sex,race,age,county,total
female,black,0-17,01001,1576
female,black,18-34,01001,1475
female,black,35-64,01001,2397
female,black,65-74,01001,530
female,black,75+,01001,298
female,other,0-17,01001,762
female,other,18-34,01001,320
female,other,35-64,01001,866
female,other,65-74,01001,97
female,other,75+,01001,90
female,white,0-17,01001,4592
female,white,18-34,01001,4430
female,white,35-64,01001,8860
female,white,65-74,01001,2317
female,white,75+,01001,2006
male,black,0-17,01001,1466
male,black,18-34,01001,1404
male,black,35-64,01001,2076
male,black,65-74,01001,426
male,black,75+,01001,181
male,other,0-17,01001,486
male,other,18-34,01001,314
male,other,35-64,01001,819
male,other,65-74,01001,13
male,other,75+,01001,73
male,white,0-17,01001,5044
male,white,18-34,01001,4254
male,white,35-64,01001,8670
male,white,65-74,01001,2076
male,white,75+,01001,1367
female,black,0-17,01003,1941
female,black,18-34,01003,2568
female,black,35-64,01003,3959
female,black,65-74,01003,866
female,black,75+,01003,457
female,other,0-17,01003,4435
female,other,18-34,01003,1968
female,other,35-64,01003,3578
female,other,65-74,01003,732
female,other,75+,01003,559
female,white,0-17,01003,18312
female,white,18-34,01003,17225
female,white,35-64,01003,41125
female,white,65-74,01003,14735
female,white,75+,01003,10169
male,black,0-17,01003,2468
male,black,18-34,01003,2114
male,black,35-64,01003,3674
male,black,65-74,01003,756
male,black,75+,01003,341
male,other,0-17,01003,3876
male,other,18-34,01003,2411
male,other,35-64,01003,3574
male,other,65-74,01003,754
male,other,75+,01003,193
male,white,0-17,01003,20096
male,white,18-34,01003,16955
male,white,35-64,01003,38340
male,white,65-74,01003,13066
male,white,75+,01003,8698
female,black,0-17,01005,1257
female,black,18-34,01005,1177
female,black,35-64,01005,1950
female,black,65-74,01005,642
female,black,75+,01005,426
female,other,0-17,01005,562
female,other,18-34,01005,120
female,other,35-64,01005,429
female,other,65-74,01005,23
female,other,75+,01005,81
female,white,0-17,01005,898
female,white,18-34,01005,769
female,white,35-64,01005,1928
female,white,65-74,01005,882
female,white,75+,01005,707
male,black,0-17,01005,1390
male,black,18-34,01005,1777
male,black,35-64,01005,2257
male,black,65-74,01005,493
male,black,75+,01005,247
male,other,0-17,01005,234
male,other,18-34,01005,392
male,other,35-64,01005,341
