sex,race,age,time,zip,county,state,date,total,positive
Female,Black,0-17,1,61563,17057,IL,2019-12-30,4,0
Female,Black,0-17,1,61564,17179,IL,2019-12-30,1,0
Female,Black,0-17,1,61565,17123,IL,2019-12-30,2,0
Female,Black,0-17,1,61567,17125,IL,2019-12-30,5,0
Female,Black,0-17,1,61568,17179,IL,2019-12-30,7,0
Female,Black,0-17,1,61569,17143,IL,2019-12-30,4,0
Female,Black,0-17,1,61570,17123,IL,2019-12-30,2,0
Female,Black,0-17,1,61571,17179,IL,2019-12-30,3,0
Female,Black,0-17,1,61572,17095,IL,2019-12-30,6,0
Female,Black,0-17,1,61601,17143,IL,2019-12-30,2,0
Female,Black,0-17,2,61563,17057,IL,2020-01-06,6,1
Female,Black,0-17,2,61565,17123,IL,2020-01-06,1,0
Female,Black,0-17,2,61567,17125,IL,2020-01-06,2,0
Female,Black,0-17,2,61569,17143,IL,2020-01-06,2,0
Female,Black,0-17,2,61570,17123,IL,2020-01-06,2,0
Female,Black,0-17,2,61571,17179,IL,2020-01-06,6,0
Female,Black,0-17,2,61572,17095,IL,2020-01-06,1,0
Female,Black,0-17,2,61601,17143,IL,2020-01-06,3,0
Female,Black,0-17,3,61563,17057,IL,2020-01-13,4,0
Female,Black,0-17,3,61564,17179,IL,2020-01-13,1,0
Female,Black,0-17,3,61565,17123,IL,2020-01-13,2,0
Female,Black,0-17,3,61568,17179,IL,2020-01-13,5,0
Female,Black,0-17,3,61569,17143,IL,2020-01-13,2,0
Female,Black,0-17,3,61570,17123,IL,2020-01-13,2,0
Female,Black,0-17,3,61571,17179,IL,2020-01-13,5,0
Female,Black,0-17,3,61572,17095,IL,2020-01-13,5,0
Female,Black,0-17,3,61601,17143,IL,2020-01-13,3,0
Female,Black,0-17,4,61563,17057,IL,2020-01-20,1,0
Female,Black,0-17,4,61564,17179,IL,2020-01-20,1,0
Female,Black,0-17,4,61565,17123,IL,2020-01-20,5,0
Female,Black,0-17,4,61567,17125,IL,2020-01-20,2,0
Female,Black,0-17,4,61568,17179,IL,2020-01-20,2,0
Female,Black,0-17,4,61569,17143,IL,2020-01-20,4,0
Female,Black,0-17,4,61570,17123,IL,2020-01-20,1,0
Female,Black,0-17,4,61571,17179,IL,2020-01-20,2,0
Female,Black,0-17,4,61572,17095,IL,2020-01-20,3,0
Female,Black,0-17,4,61601,17143,IL,2020-01-20,3,0
Female,Black,0-17,5,61563,17057,IL,2020-01-27,2,0
Female,Black,0-17,5,61564,17179,IL,2020-01-27,1,0
Female,Black,0-17,5,61565,17123,IL,2020-01-27,3,0
Female,Black,0-17,5,61567,17125,IL,2020-01-27,1,0
Female,Black,0-17,5,61568,17179,IL,2020-01-27,2,0
Female,Black,0-17,5,61569,17143,IL,2020-01-27,3,0
Female,Black,0-17,5,61570,17123,IL,2020-01-27,7,0
Female,Black,0-17,5,61571,17179,IL,2020-01-27,4,0
Female,Black,0-17,5,61572,17095,IL,2020-01-27,4,0
Female,Black,0-17,5,61601,17143,IL,2020-01-27,2,0
Female,Black,0-17,6,61564,17179,IL,2020-02-03,3,1
Female,Black,0-17,6,61565,17123,IL,2020-02-03,1,0
Female,Black,0-17,6,61567,17125,IL,2020-02-03,2,0
Female,Black,0-17,6,61568,17179,IL,2020-02-03,3,0
Female,Black,0-17,6,61569,17143,IL,2020-02-03,3,0
Female,Black,0-17,6,61571,17179,IL,2020-02-03,2,0
Female,Black,0-17,6,61572,17095,IL,2020-02-03,2,0
Female,Black,0-17,6,61601,17143,IL,2020-02-03,4,0
Female,Black,0-17,7,61563,17057,IL,2020-02-10,1,0
Female,Black,0-17,7,61564,17179,IL,2020-02-10,2,0
Female,Black,0-17,7,61567,17125,IL,2020-02-10,2,0
Female,Black,0-17,7,61569,17143,IL,2020-02-10,3,0
Female,Black,0-17,7,61570,17123,IL,2020-02-10,4,0
Female,Black,0-17,7,61571,17179,IL,2020-02-10,3,0
Female,Black,0-17,7,61572,17095,IL,2020-02-10,2,0
Female,Black,0-17,7,61601,17143,IL,2020-02-10,1,0
Female,Black,0-17,8,61563,17057,IL,2020-02-17,2,0
Female,Black,0-17,8,61564,17179,IL,2020-02-17,3,1
Female,Black,0-17,8,61565,17123,IL,2020-02-17,5,0
Female,Black,0-17,8,61567,17125,IL,2020-02-17,5,0
Female,Black,0-17,8,61568,17179,IL,2020-02-17,2,0
Female,Black,0-17,8,61569,17143,IL,2020-02-17,5,0
Female,Black,0-17,8,61570,17123,IL,2020-02-17,6,0
Female,Black,0-17,8,61571,17179,IL,2020-02-17,1,0
Female,Black,0-17,8,61572,17095,IL,2020-02-17,1,0
Female,Black,0-17,8,61601,17143,IL,2020-02-17,2,0
Female,Black,0-17,9,61563,17057,IL,2020-02-24,4,0
Female,Black,0-17,9,61564,17179,IL,2020-02-24,4,0
Female,Black,0-17,9,61565,17123,IL,2020-02-24,4,0
Female,Black,0-17,9,61567,17125,IL,2020-02-24,4,0
Female,Black,0-17,9,61568,17179,IL,2020-02-24,3,0
Female,Black,0-17,9,61570,17123,IL,2020-02-24,5,0
Female,Black,0-17,9,61571,17179,IL,2020-02-24,2,0
Female,Black,0-17,9,61572,17095,IL,2020-02-24,2,0
Female,Black,0-17,9,61601,17143,IL,2020-02-24,2,0
Female,Black,0-17,10,61563,17057,IL,2020-03-02,1,0
