sex,race,age,time,zip,county,state,total,positive
Female,Black,0-17,1,35979,01049,AL,1,1
Female,Black,0-17,1,35980,01095,AL,5,1
Female,Black,0-17,1,35981,01049,AL,2,1
Female,Black,0-17,1,35983,01019,AL,3,3
Female,Black,0-17,1,35984,01049,AL,6,5
Female,Black,0-17,1,35986,01049,AL,2,0
Female,Black,0-17,1,35987,01115,AL,4,3
Female,Black,0-17,1,35988,01049,AL,5,3
Female,Black,0-17,1,35989,01049,AL,5,3
Female,Black,0-17,1,35990,01055,AL,9,4
Female,Black,0-17,2,35979,01049,AL,2,2
Female,Black,0-17,2,35980,01095,AL,2,0
Female,Black,0-17,2,35981,01049,AL,4,3
Female,Black,0-17,2,35983,01019,AL,4,2
Female,Black,0-17,2,35984,01049,AL,1,0
Female,Black,0-17,2,35986,01049,AL,4,0
Female,Black,0-17,2,35987,01115,AL,2,2
Female,Black,0-17,2,35988,01049,AL,1,0
Female,Black,0-17,2,35989,01049,AL,2,2
Female,Black,0-17,2,35990,01055,AL,6,1
Female,Black,0-17,3,35979,01049,AL,1,0
Female,Black,0-17,3,35980,01095,AL,3,1
Female,Black,0-17,3,35981,01049,AL,1,0
Female,Black,0-17,3,35983,01019,AL,5,2
Female,Black,0-17,3,35984,01049,AL,4,1
Female,Black,0-17,3,35987,01115,AL,4,2
Female,Black,0-17,3,35988,01049,AL,3,3
Female,Black,0-17,3,35989,01049,AL,2,1
Female,Black,0-17,3,35990,01055,AL,1,0
Female,Black,0-17,4,35979,01049,AL,2,1
Female,Black,0-17,4,35980,01095,AL,2,2
Female,Black,0-17,4,35981,01049,AL,4,4
Female,Black,0-17,4,35983,01019,AL,1,1
Female,Black,0-17,4,35984,01049,AL,5,4
Female,Black,0-17,4,35986,01049,AL,3,3
Female,Black,0-17,4,35987,01115,AL,3,3
Female,Black,0-17,4,35989,01049,AL,2,2
Female,Black,0-17,5,35979,01049,AL,5,3
Female,Black,0-17,5,35980,01095,AL,3,1
Female,Black,0-17,5,35981,01049,AL,4,4
Female,Black,0-17,5,35983,01019,AL,1,1
Female,Black,0-17,5,35984,01049,AL,3,2
Female,Black,0-17,5,35986,01049,AL,4,3
Female,Black,0-17,5,35987,01115,AL,4,3
Female,Black,0-17,5,35988,01049,AL,1,1
Female,Black,0-17,5,35989,01049,AL,3,2
