sex,race,age,time,date,zip,county,state,outcome
Female,White,4,6,2020-02-03,61880,17019,IL,3.471330189642688
Female,Other,2,2,2020-01-06,61872,17019,IL,2.7246322804437266
Male,White,0,2,2020-01-06,61880,17019,IL,4.617797198630767
Female,White,0,9,2020-02-24,61882,17039,IL,3.744252311101423
Female,Other,70,6,2020-02-03,61871,17019,IL,7.887856591524633
Female,Other,29,2,2020-01-06,61872,17019,IL,5.535832383022815
Male,Black,12,12,2020-03-16,61873,17019,IL,4.716630157105833
Female,White,86,12,2020-03-16,61880,17019,IL,3.3397987492915018
Male,White,30,8,2020-02-17,61871,17019,IL,5.136529641814949
Female,Other,72,1,2019-12-30,61873,17019,IL,5.899621932500323
Male,White,81,9,2020-02-24,61874,17019,IL,4.235313273347941
Male,White,74,5,2020-01-27,61880,17019,IL,6.475855664424059
Female,White,46,8,2020-02-17,61872,17019,IL,4.109745486523931
Male,Other,11,1,2019-12-30,61882,17039,IL,4.586103994951249
Female,Black,6,4,2020-01-20,61880,17019,IL,6.5726400345846
Female,Other,5,12,2020-03-16,61876,17045,IL,3.190621266789503
Male,Other,69,10,2020-03-02,61871,17019,IL,6.500671973256623
Female,Other,67,9,2020-02-24,61875,17019,IL,6.333171666228183
Male,Other,26,11,2020-03-09,61871,17019,IL,3.82239064582178
Male,Black,73,1,2019-12-30,61875,17019,IL,6.755156663404127
Female,White,34,5,2020-01-27,61876,17045,IL,4.233781042976565
Female,White,68,2,2020-01-06,61871,17019,IL,6.829318331427768
Male,White,82,3,2020-01-13,61872,17019,IL,3.4541548616135196
Male,Other,38,11,2020-03-09,61878,17019,IL,5.941314857698032
Male,Other,76,4,2020-01-20,61876,17045,IL,4.3930074907375944
Female,Black,71,2,2020-01-06,61878,17019,IL,6.183670027285665
Female,Black,33,11,2020-03-09,61882,17039,IL,3.730663320568373
Female,Other,27,12,2020-03-16,61882,17039,IL,4.505067955855118
Male,Black,98,8,2020-02-17,61875,17019,IL,4.500340052920284
Female,White,34,2,2020-01-06,61874,17019,IL,5.478265030314099
Female,Other,98,6,2020-02-03,61876,17045,IL,3.7204503304256136
Male,Other,65,7,2020-02-10,61875,17019,IL,6.126257382227391
Male,Other,54,11,2020-03-09,61877,17019,IL,3.2677389888329693
Male,White,68,3,2020-01-13,61874,17019,IL,6.4987442587898805
Male,Black,11,8,2020-02-17,61882,17039,IL,3.1689852524665407
Female,Other,32,4,2020-01-20,61874,17019,IL,3.4486676931403566
Female,Black,4,7,2020-02-10,61880,17019,IL,2.8435358035440297
Female,Other,61,11,2020-03-09,61882,17039,IL,2.595742096581443
Male,White,62,6,2020-02-03,61872,17019,IL,2.0342575432787955
Male,Other,25,6,2020-02-03,61877,17019,IL,3.8647969061222933
Female,Black,19,7,2020-02-10,61880,17019,IL,4.153123121489712
Female,White,83,2,2020-01-06,61874,17019,IL,2.6253828764206784
Male,White,64,5,2020-01-27,61872,17019,IL,3.486550541309827
Male,White,95,1,2019-12-30,61876,17045,IL,3.3276562419268356
Male,Other,90,1,2019-12-30,61874,17019,IL,5.9519216525154315
Male,White,6,1,2019-12-30,61871,17019,IL,4.566099407610629
Male,White,51,2,2020-01-06,61875,17019,IL,4.307909914843902
Male,Other,55,3,2020-01-13,61876,17045,IL,4.704200197669168
Female,Black,44,2,2020-01-06,61873,17019,IL,2.4962120090213027
Female,Other,67,8,2020-02-17,61871,17019,IL,6.613932110757757
Female,Other,87,3,2020-01-13,61873,17019,IL,2.991692283682611
Female,Other,52,9,2020-02-24,61882,17039,IL,4.7141230410795885
Female,White,9,9,2020-02-24,61875,17019,IL,3.5711021916027503
Male,White,19,8,2020-02-17,61873,17019,IL,3.810745419151992
Female,White,0,5,2020-01-27,61871,17019,IL,5.2245835436888814
Male,Other,9,10,2020-03-02,61873,17019,IL,5.203262725620785
Female,Black,68,1,2019-12-30,61873,17019,IL,7.189411983770778
Female,White,99,5,2020-01-27,61877,17019,IL,3.6143252404827226
Male,Other,34,8,2020-02-17,61874,17019,IL,5.114373461628654
Female,Other,80,6,2020-02-03,61873,17019,IL,5.516155402447757
Female,Other,49,5,2020-01-27,61874,17019,IL,4.5060208565594335
Female,White,73,6,2020-02-03,61875,17019,IL,5.563062127693387
Male,Other,84,7,2020-02-10,61878,17019,IL,6.464087144265534
Female,Other,21,7,2020-02-10,61872,17019,IL,4.955355989682348
Female,White,39,7,2020-02-10,61876,17045,IL,3.9332592666786543
Female,Black,30,8,2020-02-17,61876,17045,IL,3.4044433492851534
Female,Black,18,2,2020-01-06,61882,17039,IL,4.403272442809693
Male,Other,94,11,2020-03-09,61872,17019,IL,4.236180473131278
Female,Black,2,9,2020-02-24,61877,17019,IL,3.1178729125522855
Female,Black,37,7,2020-02-10,61880,17019,IL,3.501479491348328
Male,Other,72,3,2020-01-13,61877,17019,IL,6.232989966291884
Female,White,32,5,2020-01-27,61874,17019,IL,6.366364922804692
Female,Other,15,10,2020-03-02,61877,17019,IL,3.775474367890815
Female,Black,68,8,2020-02-17,61873,17019,IL,6.010987745575067
Female,Black,90,3,2020-01-13,61871,17019,IL,5.98831271942376
Female,Other,70,2,2020-01-06,61877,17019,IL,7.412865546785621
Female,Other,72,11,2020-03-09,61872,17019,IL,4.916896232582445
Male,Other,74,11,2020-03-09,61871,17019,IL,8.02092753094656
Male,White,68,5,2020-01-27,61874,17019,IL,5.0639259523507985
Female,White,32,10,2020-03-02,61882,17039,IL,4.399066126339917
Male,Black,13,12,2020-03-16,61872,17019,IL,2.553778181560535
Male,White,71,9,2020-02-24,61877,17019,IL,4.7776820309631605
Male,White,72,7,2020-02-10,61875,17019,IL,6.99865084952026
Male,White,96,5,2020-01-27,61873,17019,IL,5.493725459469102
Male,Black,32,7,2020-02-10,61874,17019,IL,2.682021171341191
Male,Black,49,6,2020-02-03,61882,17039,IL,3.6938198815069643
Male,Black,20,11,2020-03-09,61872,17019,IL,1.4232637796433836
Male,Other,13,7,2020-02-10,61880,17019,IL,4.73983298971749
Female,Black,16,3,2020-01-13,61876,17045,IL,1.7723136665163914
Female,White,37,10,2020-03-02,61875,17019,IL,1.9625048910877294
Female,White,56,7,2020-02-10,61872,17019,IL,2.5879183380384787
Female,Other,89,2,2020-01-06,61872,17019,IL,4.369156464335137
Female,Black,19,3,2020-01-13,61876,17045,IL,2.6553067039147833
Male,Other,76,6,2020-02-03,61877,17019,IL,3.6179010449663385
Female,Other,17,12,2020-03-16,61876,17045,IL,3.2517526536101213
Male,Other,72,10,2020-03-02,61878,17019,IL,6.692881679897673
Male,Other,4,11,2020-03-09,61873,17019,IL,4.280621546067067
Male,Black,74,12,2020-03-16,61871,17019,IL,5.039580966317989
Male,Black,13,9,2020-02-24,61880,17019,IL,4.834386531324309
Female,Other,58,9,2020-02-24,61877,17019,IL,3.0526147319691224
Male,Black,61,12,2020-03-16,61876,17045,IL,2.500634527812805
Female,Black,70,4,2020-01-20,61878,17019,IL,6.2080529630650325
Female,Black,74,5,2020-01-27,61880,17019,IL,5.574043918498104
Female,Other,24,6,2020-02-03,61873,17019,IL,4.268711126149315
Female,White,15,10,2020-03-02,61872,17019,IL,5.085188795597341
Female,Black,76,4,2020-01-20,61882,17039,IL,2.8687050530408476
Male,Other,49,12,2020-03-16,61876,17045,IL,2.720390143746829
Male,Black,12,11,2020-03-09,61880,17019,IL,4.298921915731141
Male,Black,21,1,2019-12-30,61875,17019,IL,4.57556774947887
Female,White,49,10,2020-03-02,61877,17019,IL,3.69410079983101
