sex,race,age,time,zip,county,state,date,total,positive
Female,Black,0-17,1,44272,39133,OH,2019-12-30,1,0
Female,Black,0-17,1,44273,39103,OH,2019-12-30,4,0
Female,Black,0-17,1,44274,39103,OH,2019-12-30,3,0
Female,Black,0-17,1,44275,39093,OH,2019-12-30,2,0
Female,Black,0-17,1,44276,39169,OH,2019-12-30,2,0
Female,Black,0-17,1,44278,39153,OH,2019-12-30,4,0
Female,Black,0-17,1,44280,39103,OH,2019-12-30,2,0
Female,Black,0-17,1,44281,39103,OH,2019-12-30,5,0
Female,Black,0-17,1,44282,39103,OH,2019-12-30,1,0
Female,Black,0-17,2,44272,39133,OH,2020-01-06,3,0
Female,Black,0-17,2,44273,39103,OH,2020-01-06,2,0
Female,Black,0-17,2,44274,39103,OH,2020-01-06,2,0
Female,Black,0-17,2,44275,39093,OH,2020-01-06,1,0
Female,Black,0-17,2,44276,39169,OH,2020-01-06,2,0
Female,Black,0-17,2,44280,39103,OH,2020-01-06,3,0
Female,Black,0-17,2,44281,39103,OH,2020-01-06,4,0
Female,Black,0-17,2,44282,39103,OH,2020-01-06,4,0
Female,Black,0-17,2,44285,39133,OH,2020-01-06,2,0
Female,Black,0-17,3,44272,39133,OH,2020-01-13,3,0
Female,Black,0-17,3,44274,39103,OH,2020-01-13,2,0
Female,Black,0-17,3,44276,39169,OH,2020-01-13,5,0
Female,Black,0-17,3,44278,39153,OH,2020-01-13,3,0
Female,Black,0-17,3,44280,39103,OH,2020-01-13,2,0
Female,Black,0-17,3,44281,39103,OH,2020-01-13,3,0
Female,Black,0-17,3,44282,39103,OH,2020-01-13,4,0
Female,Black,0-17,3,44285,39133,OH,2020-01-13,1,0
Female,Black,0-17,4,44272,39133,OH,2020-01-20,1,0
Female,Black,0-17,4,44273,39103,OH,2020-01-20,4,0
Female,Black,0-17,4,44274,39103,OH,2020-01-20,1,0
Female,Black,0-17,4,44275,39093,OH,2020-01-20,4,0
Female,Black,0-17,4,44276,39169,OH,2020-01-20,5,0
Female,Black,0-17,4,44278,39153,OH,2020-01-20,3,0
Female,Black,0-17,4,44280,39103,OH,2020-01-20,4,0
Female,Black,0-17,4,44281,39103,OH,2020-01-20,6,0
Female,Black,0-17,4,44282,39103,OH,2020-01-20,2,0
Female,Black,0-17,4,44285,39133,OH,2020-01-20,1,0
Female,Black,0-17,5,44272,39133,OH,2020-01-27,2,0
Female,Black,0-17,5,44273,39103,OH,2020-01-27,4,0
Female,Black,0-17,5,44274,39103,OH,2020-01-27,2,0
Female,Black,0-17,5,44275,39093,OH,2020-01-27,4,0
Female,Black,0-17,5,44276,39169,OH,2020-01-27,3,2
Female,Black,0-17,5,44278,39153,OH,2020-01-27,2,0
Female,Black,0-17,5,44280,39103,OH,2020-01-27,2,0
Female,Black,0-17,5,44281,39103,OH,2020-01-27,4,0
Female,Black,0-17,5,44282,39103,OH,2020-01-27,2,0
Female,Black,0-17,5,44285,39133,OH,2020-01-27,2,0
Female,Black,0-17,6,44272,39133,OH,2020-02-03,1,0
Female,Black,0-17,6,44273,39103,OH,2020-02-03,2,0
Female,Black,0-17,6,44274,39103,OH,2020-02-03,4,0
Female,Black,0-17,6,44275,39093,OH,2020-02-03,3,0
Female,Black,0-17,6,44276,39169,OH,2020-02-03,1,0
Female,Black,0-17,6,44278,39153,OH,2020-02-03,3,0
Female,Black,0-17,6,44280,39103,OH,2020-02-03,5,0
Female,Black,0-17,6,44281,39103,OH,2020-02-03,2,0
Female,Black,0-17,6,44282,39103,OH,2020-02-03,3,0
Female,Black,0-17,6,44285,39133,OH,2020-02-03,2,0
Female,Black,0-17,7,44273,39103,OH,2020-02-10,1,0
Female,Black,0-17,7,44274,39103,OH,2020-02-10,2,0
Female,Black,0-17,7,44275,39093,OH,2020-02-10,3,0
Female,Black,0-17,7,44276,39169,OH,2020-02-10,3,0
Female,Black,0-17,7,44278,39153,OH,2020-02-10,6,0
Female,Black,0-17,7,44280,39103,OH,2020-02-10,2,0
Female,Black,0-17,7,44281,39103,OH,2020-02-10,4,0
Female,Black,0-17,7,44282,39103,OH,2020-02-10,2,0
Female,Black,0-17,7,44285,39133,OH,2020-02-10,1,0
Female,Black,0-17,8,44273,39103,OH,2020-02-17,2,0
Female,Black,0-17,8,44274,39103,OH,2020-02-17,2,0
Female,Black,0-17,8,44275,39093,OH,2020-02-17,5,0
Female,Black,0-17,8,44276,39169,OH,2020-02-17,2,0
Female,Black,0-17,8,44278,39153,OH,2020-02-17,3,0
Female,Black,0-17,8,44280,39103,OH,2020-02-17,2,0
Female,Black,0-17,8,44281,39103,OH,2020-02-17,3,0
Female,Black,0-17,8,44282,39103,OH,2020-02-17,5,0
Female,Black,0-17,8,44285,39133,OH,2020-02-17,3,0
