sex,race,age,zip,total,county,state
male,white,0-17,44272,2009,39133,oh
male,white,18-34,44272,2028,39133,oh
male,white,35-64,44272,4183,39133,oh
male,white,65-74,44272,1063,39133,oh
male,white,75+,44272,723,39133,oh
male,black,0-17,44272,99,39133,oh
male,black,18-34,44272,72,39133,oh
male,black,35-64,44272,39,39133,oh
male,black,65-74,44272,0,39133,oh
male,black,75+,44272,15,39133,oh
male,other,0-17,44272,89,39133,oh
male,other,18-34,44272,119,39133,oh
male,other,35-64,44272,125,39133,oh
male,other,65-74,44272,0,39133,oh
male,other,75+,44272,0,39133,oh
female,white,0-17,44272,2252,39133,oh
female,white,18-34,44272,2238,39133,oh
female,white,35-64,44272,4303,39133,oh
female,white,65-74,44272,1267,39133,oh
female,white,75+,44272,659,39133,oh
female,black,0-17,44272,5,39133,oh
female,black,18-34,44272,58,39133,oh
female,black,35-64,44272,55,39133,oh
female,black,65-74,44272,0,39133,oh
female,black,75+,44272,0,39133,oh
female,other,0-17,44272,97,39133,oh
female,other,18-34,44272,76,39133,oh
female,other,35-64,44272,183,39133,oh
female,other,65-74,44272,0,39133,oh
female,other,75+,44272,17,39133,oh
male,white,0-17,44273,2350,39103,oh
male,white,18-34,44273,1590,39103,oh
male,white,35-64,44273,4326,39103,oh
male,white,65-74,44273,1125,39103,oh
male,white,75+,44273,529,39103,oh
male,black,0-17,44273,19,39103,oh
male,black,18-34,44273,0,39103,oh
male,black,35-64,44273,88,39103,oh
male,black,65-74,44273,0,39103,oh
male,black,75+,44273,0,39103,oh
male,other,0-17,44273,126,39103,oh
male,other,18-34,44273,8,39103,oh
male,other,35-64,44273,73,39103,oh
male,other,65-74,44273,20,39103,oh
male,other,75+,44273,15,39103,oh
female,white,0-17,44273,1971,39103,oh
female,white,18-34,44273,1385,39103,oh
female,white,35-64,44273,4219,39103,oh
female,white,65-74,44273,1193,39103,oh
female,white,75+,44273,635,39103,oh
female,black,0-17,44273,0,39103,oh
female,black,18-34,44273,20,39103,oh
female,black,35-64,44273,51,39103,oh
female,black,65-74,44273,0,39103,oh
female,black,75+,44273,4,39103,oh
female,other,0-17,44273,91,39103,oh
female,other,18-34,44273,28,39103,oh
female,other,35-64,44273,126,39103,oh
female,other,65-74,44273,30,39103,oh
female,other,75+,44273,14,39103,oh
male,white,0-17,44274,1632,39103,oh
male,white,18-34,44274,981,39103,oh
male,white,35-64,44274,2554,39103,oh
male,white,65-74,44274,443,39103,oh
male,white,75+,44274,261,39103,oh
male,black,0-17,44274,20,39103,oh
male,black,18-34,44274,14,39103,oh
male,black,35-64,44274,15,39103,oh
male,black,65-74,44274,0,39103,oh
male,black,75+,44274,0,39103,oh
male,other,0-17,44274,72,39103,oh
male,other,18-34,44274,48,39103,oh
male,other,35-64,44274,35,39103,oh
male,other,65-74,44274,3,39103,oh
male,other,75+,44274,0,39103,oh
female,white,0-17,44274,1701,39103,oh
female,white,18-34,44274,1560,39103,oh
female,white,35-64,44274,2557,39103,oh
female,white,65-74,44274,543,39103,oh
female,white,75+,44274,391,39103,oh
female,black,0-17,44274,38,39103,oh
female,black,18-34,44274,3,39103,oh
female,black,35-64,44274,12,39103,oh
female,black,65-74,44274,0,39103,oh
female,black,75+,44274,10,39103,oh
female,other,0-17,44274,33,39103,oh
female,other,18-34,44274,0,39103,oh
female,other,35-64,44274,45,39103,oh
female,other,65-74,44274,0,39103,oh
female,other,75+,44274,0,39103,oh
male,white,0-17,44275,942,39093,oh
male,white,18-34,44275,872,39093,oh
male,white,35-64,44275,2011,39093,oh
male,white,65-74,44275,510,39093,oh
male,white,75+,44275,341,39093,oh
male,black,0-17,44275,0,39093,oh
male,black,18-34,44275,0,39093,oh
male,black,35-64,44275,11,39093,oh
male,black,65-74,44275,0,39093,oh
male,black,75+,44275,0,39093,oh
male,other,0-17,44275,14,39093,oh
male,other,18-34,44275,0,39093,oh
male,other,35-64,44275,33,39093,oh
male,other,65-74,44275,0,39093,oh
male,other,75+,44275,9,39093,oh
female,white,0-17,44275,866,39093,oh
female,white,18-34,44275,770,39093,oh
female,white,35-64,44275,1902,39093,oh
female,white,65-74,44275,481,39093,oh
female,white,75+,44275,417,39093,oh
