zip,fips,county,state,state_name
00501,36103,Suffolk County,NY,New York
00601,72001,Adjuntas Municipio,PR,Puerto Rico
00602,72003,Aguada Municipio,PR,Puerto Rico
00603,72005,Aguadilla Municipio,PR,Puerto Rico
00604,72005,Aguadilla Municipio,PR,Puerto Rico
00605,72005,Aguadilla Municipio,PR,Puerto Rico
00606,72093,Maricao Municipio,PR,Puerto Rico
00610,72011,Anasco Municipio,PR,Puerto Rico
00611,72141,Utuado Municipio,PR,Puerto Rico
00612,72013,Arecibo Municipio,PR,Puerto Rico
00613,72013,Arecibo Municipio,PR,Puerto Rico
00614,72013,Arecibo Municipio,PR,Puerto Rico
00616,72013,Arecibo Municipio,PR,Puerto Rico
00617,72017,Barceloneta Municipio,PR,Puerto Rico
00622,72023,Cabo Rojo Municipio,PR,Puerto Rico
00623,72023,Cabo Rojo Municipio,PR,Puerto Rico
00624,72111,Penuelas Municipio,PR,Puerto Rico
00627,72027,Camuy Municipio,PR,Puerto Rico
00631,72081,Lares Municipio,PR,Puerto Rico
00637,72121,Sabana Grande Municipio,PR,Puerto Rico
00638,72039,Ciales Municipio,PR,Puerto Rico
00641,72141,Utuado Municipio,PR,Puerto Rico
00646,72051,Dorado Municipio,PR,Puerto Rico
00647,72055,Guanica Municipio,PR,Puerto Rico
00650,72013,Arecibo Municipio,PR,Puerto Rico
00652,72013,Arecibo Municipio,PR,Puerto Rico
00653,72055,Guanica Municipio,PR,Puerto Rico
00656,72059,Guayanilla Municipio,PR,Puerto Rico
00659,72065,Hatillo Municipio,PR,Puerto Rico
00660,72067,Hormigueros Municipio,PR,Puerto Rico
00662,72071,Isabela Municipio,PR,Puerto Rico
00664,72073,Jayuya Municipio,PR,Puerto Rico
00667,72079,Lajas Municipio,PR,Puerto Rico
00669,72081,Lares Municipio,PR,Puerto Rico
00670,72083,Las Marias Municipio,PR,Puerto Rico
00674,72091,Manati Municipio,PR,Puerto Rico
00676,72099,Moca Municipio,PR,Puerto Rico
